metric,spearman_rho_vs_linkF1,abs_rho,macro_rank1,s21gpt_value
comp_coverage,0.4115,0.4115,S21 GPT,1.0000
neg_n_missed,0.4249,0.4249,S21 GPT,0.0000
frac_comp_ge.5,0.6592,0.6592,TransArC,0.9524
neg_cv_F1,0.6962,0.6962,S21 GPT,-0.1042
gini_F1(inv),0.7100,0.7100,S21 GPT,0.9455
worst_F1(min),0.7136,0.7136,S21 GPT,0.7530
median_F1,0.7258,0.7258,S21 Claude,0.9197
harmonic_F1,0.7386,0.7386,S21 GPT,0.8838
geomean_F1,0.7462,0.7462,S21 GPT,0.8938
CVaR25_F1,0.7627,0.7627,S21 GPT,0.8038
macro_mean_F1,0.7797,0.7797,S21 GPT,0.9030
strict_comp_cov,0.7820,0.7820,s20u Claude,0.6189
sent_coverage,0.8059,0.8059,s20u Claude,0.8417
bottom2_mean_F1,0.8064,0.8064,S21 GPT,0.7872
second_worst_F1,0.8691,0.8691,S21 GPT,0.8213
