modelElementID,codeId
1,src/test/java/org/jabref/model/metadata/MetaDataTest.java
4,src/test/java/org/jabref/logic/integrity/PagesCheckerBiblatexTest.java
6,src/main/java/org/jabref/logic/cleanup/Formatter.java
1,src/main/java/org/jabref/logic/importer/CompositeIdFetcher.java
7,src/main/java/org/jabref/gui/libraryproperties/LibraryPropertiesView.java
5,src/test/java/org/jabref/model/texparser/CitationTest.java
9,src/test/java/org/jabref/model/database/BibDatabaseTest.java
6,src/main/java/org/jabref/model/entry/event/EntriesEventSource.java
12,src/test/java/org/jabref/model/database/BibDatabaseModeDetectionTest.java
4,src/main/java/org/jabref/logic/bibtex/BibEntryWriter.java
5,src/main/java/org/jabref/model/openoffice/uno/UnoCrossRef.java
4,src/main/java/org/jabref/model/search/GroupSearchQuery.java
9,src/main/java/org/jabref/model/entry/event/EntriesEventSource.java
9,src/main/java/org/jabref/logic/layout/format/HTMLChars.java
4,src/test/java/org/jabref/logic/importer/fetcher/transformers/JstorQueryTransformerTest.java
1,src/main/java/org/jabref/model/database/KeyCollisionException.java
4,src/main/java/org/jabref/model/openoffice/uno/UnoNameAccess.java
1,src/main/java/org/jabref/logic/importer/fileformat/PdfEmbeddedBibFileImporter.java
6,src/main/java/org/jabref/gui/menus/ChangeEntryTypeMenu.java
6,src/main/java/org/jabref/model/entry/ParsedEntryLink.java
7,src/main/java/org/jabref/gui/undo/UndoableRemoveEntries.java
5,src/main/java/org/jabref/logic/importer/fetcher/MathSciNet.java
5,src/test/java/org/jabref/model/entry/BibEntryTest.java
12,src/main/java/org/jabref/model/database/KeyCollisionException.java
1,src/main/java/org/jabref/gui/integrity/IntegrityCheckDialogViewModel.java
6,src/main/java/org/jabref/logic/integrity/ISSNChecker.java
4,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/sidebuttons/InfoButton.java
4,src/main/java/org/jabref/gui/help/SearchForUpdateAction.java
6,src/main/java/org/jabref/gui/entryeditor/fileannotationtab/FulltextSearchResultsTab.java
5,src/main/java/org/jabref/logic/cleanup/Formatter.java
1,src/test/java/org/jabref/logic/integrity/PersonNamesCheckerTest.java
4,src/main/java/org/jabref/logic/xmp/XmpUtilReader.java
5,src/main/java/org/jabref/logic/layout/format/AuthorFirstLastCommas.java
7,src/main/java/org/jabref/gui/importer/ImportEntriesDialog.java
9,src/main/java/org/jabref/logic/openoffice/frontend/OOFrontend.java
5,src/test/java/org/jabref/logic/formatter/bibtexfields/NormalizeEnDashesFormatterTest.java
1,src/main/java/org/jabref/logic/formatter/bibtexfields/ClearFormatter.java
4,src/main/java/org/jabref/gui/icon/JabRefIconView.java
7,src/main/java/org/jabref/gui/bibtexextractor/ExtractBibtexDialog.java
1,src/test/java/org/jabref/logic/importer/ImportFormatReaderParameterlessTest.java
4,src/main/java/org/jabref/model/study/StudyDatabase.java
4,src/test/java/org/jabref/logic/shared/TestManager.java
9,src/main/java/org/jabref/model/openoffice/CitationEntry.java
5,src/main/java/org/jabref/logic/integrity/IntegrityMessage.java
1,src/main/java/org/jabref/logic/net/ProxyAuthenticator.java
1,src/main/java/org/jabref/gui/entryeditor/OpenEntryEditorAction.java
4,src/main/java/org/jabref/logic/importer/fetcher/TrustLevel.java
9,src/main/java/org/jabref/logic/xmp/DocumentInformationExtractor.java
4,src/main/java/org/jabref/gui/fieldeditors/FieldEditors.java
6,src/test/java/org/jabref/model/entry/KeywordListTest.java
6,src/main/java/org/jabref/gui/mergeentries/EntriesMergeResult.java
12,src/main/java/org/jabref/model/openoffice/style/NonUniqueCitationMarker.java
7,src/main/java/org/jabref/gui/fieldeditors/CitationKeyEditor.java
9,src/main/java/org/jabref/logic/integrity/BibStringChecker.java
5,src/main/java/org/jabref/model/entry/identifier/ArXivIdentifier.java
6,src/main/java/org/jabref/logic/help/HelpFile.java
4,src/main/java/org/jabref/gui/journals/UndoableAbbreviator.java
5,src/test/java/org/jabref/logic/importer/fetcher/transformers/ZbMathQueryTransformerTest.java
9,src/main/java/org/jabref/logic/util/io/FileFinders.java
7,src/main/java/org/jabref/gui/util/ViewModelTreeTableRowFactory.java
1,src/main/java/org/jabref/gui/entryeditor/EntryEditorTab.java
4,src/main/java/org/jabref/logic/integrity/MonthChecker.java
1,src/main/java/org/jabref/model/database/event/EntriesRemovedEvent.java
1,src/test/java/org/jabref/gui/autocompleter/SuggestionProvidersTest.java
2,src/main/java/org/jabref/preferences/SidePanePreferences.java
6,src/main/java/org/jabref/logic/formatter/casechanger/CapitalizeFormatter.java
6,src/main/java/org/jabref/gui/copyfiles/CopyFilesResultItemViewModel.java
