run,project,tp,fp,fn,f1,canonical
run1,mediastore,30,1,1,0.967742,yes
run1,teastore,27,1,0,0.981818,yes
run1,teammates,51,4,6,0.910714,yes
run1,bigbluebutton,45,2,17,0.825688,yes
run1,jabref,18,1,0,0.972973,yes
run1,MACRO,,,,0.931787,yes
run2,mediastore,29,0,2,0.966667,
run2,teastore,26,0,1,0.981132,
run2,teammates,51,3,6,0.918919,
run2,bigbluebutton,47,2,15,0.846847,
run2,jabref,18,1,0,0.972973,
run2,MACRO,,,,0.937307,
run3,mediastore,26,1,5,0.896552,
run3,teastore,27,3,0,0.947368,
run3,teammates,49,2,8,0.907407,
run3,bigbluebutton,42,1,20,0.800000,
run3,jabref,18,0,0,1.000000,
run3,MACRO,,,,0.910266,
