backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
claude,run1,Full,0.946346,0.879278,0.910097,0.891038,0.733333,0.878283,0.855749,0.061742,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run1,EntityOnly,0.942928,0.767947,0.843647,0.834174,0.553846,0.675728,0.738483,0.056680,-0.066449,-0.179487,-0.202555,-0.117266,-0.005062
claude,run1,CorefOnly,0.965358,0.372486,0.516489,0.450988,0.095385,0.155626,0.357507,0.064741,-0.393608,-0.637949,-0.722657,-0.498242,+0.002998
claude,run2,Full,0.966545,0.844942,0.897339,0.862018,0.697949,0.869820,0.828686,0.078977,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run2,EntityOnly,0.971224,0.808943,0.876134,0.840631,0.616667,0.702648,0.784039,0.063480,-0.021205,-0.081282,-0.167172,-0.044647,-0.015497
claude,run2,CorefOnly,0.951323,0.370862,0.513128,0.487746,0.095385,0.156256,0.407333,0.079677,-0.384211,-0.602564,-0.713564,-0.421353,+0.000700
claude,run3,Full,0.957896,0.872313,0.910769,0.893187,0.653333,0.722878,0.857923,0.070802,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
claude,run3,EntityOnly,0.962747,0.767290,0.849888,0.826100,0.538095,0.668987,0.733343,0.068990,-0.060880,-0.115238,-0.053891,-0.124580,-0.001812
claude,run3,CorefOnly,0.954280,0.295502,0.442696,0.422225,0.015385,0.043011,0.327072,0.059110,-0.468072,-0.637949,-0.679867,-0.530850,-0.011692
openai,run1,Full,0.905820,0.846781,0.874235,0.865312,0.553934,0.687883,0.812242,0.072250,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run1,EntityOnly,0.944068,0.738252,0.824149,0.805859,0.445455,0.629576,0.700995,0.044579,-0.050086,-0.108479,-0.058306,-0.111246,-0.027671
openai,run1,CorefOnly,0.881681,0.312047,0.442403,0.402425,0.155172,0.201980,0.321266,0.159394,-0.431832,-0.398761,-0.485903,-0.490976,+0.087144
openai,run2,Full,0.920092,0.839846,0.876885,0.863952,0.605904,0.823064,0.812338,0.068302,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run2,EntityOnly,0.967889,0.736345,0.831022,0.810154,0.483333,0.639292,0.707517,0.028394,-0.045863,-0.122571,-0.183772,-0.104821,-0.039908
openai,run2,CorefOnly,0.878960,0.291015,0.421011,0.394438,0.142857,0.186996,0.313111,0.118792,-0.455874,-0.463047,-0.636068,-0.499227,+0.050490
openai,run3,Full,0.912342,0.838420,0.872742,0.859765,0.612695,0.823155,0.807894,0.071249,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run3,EntityOnly,0.967610,0.736483,0.831194,0.804414,0.483333,0.635988,0.703169,0.028340,-0.041548,-0.129362,-0.187167,-0.104725,-0.042909
openai,run3,CorefOnly,0.874444,0.302977,0.429599,0.394830,0.155172,0.195848,0.313014,0.119651,-0.443143,-0.457523,-0.627307,-0.494879,+0.048402
claude,average,CorefOnly,0.956987,0.346283,0.490771,0.453653,0.068718,0.118298,0.363971,0.067843,-0.415297,-0.626154,-0.705363,-0.483482,-0.002665
claude,average,EntityOnly,0.958966,0.781393,0.856556,0.833635,0.569536,0.682454,0.751955,0.063050,-0.049511,-0.125336,-0.141206,-0.095498,-0.007457
claude,average,Full,0.956929,0.865511,0.906068,0.882081,0.694872,0.823660,0.847453,0.070507,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,average,CorefOnly,0.878362,0.302013,0.431004,0.397231,0.151067,0.194941,0.315797,0.132612,-0.443616,-0.439777,-0.583093,-0.495027,+0.062012
openai,average,EntityOnly,0.959856,0.737027,0.828788,0.806809,0.470707,0.634952,0.703894,0.033771,-0.045832,-0.120137,-0.143082,-0.106931,-0.036829
openai,average,Full,0.912751,0.841682,0.874621,0.863010,0.590844,0.778034,0.810825,0.070600,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
