backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
claude,run1,entity,1,1,24,147,6
claude,run1,coref,43,43,17,84,7
claude,run1,all_combined,44,,36,171,9
claude,run2,entity,0,0,26,146,5
claude,run2,coref,44,44,23,83,2
claude,run2,all_combined,44,,45,171,6
claude,run3,entity,2,1,31,143,6
claude,run3,coref,34,33,18,83,3
claude,run3,all_combined,35,,42,162,7
claude,average,entity,1,0.67,27,145.33,5.67
claude,average,coref,40.33,40,19.33,83.33,4
claude,average,all_combined,41,,41,168,7.33
openai,run1,entity,8,6,38,147,0
openai,run1,coref,35,33,44,33,1
openai,run1,all_combined,41,,72,168,1
openai,run2,entity,9,7,33,147,1
openai,run2,coref,35,33,32,29,3
openai,run2,all_combined,42,,63,167,4
openai,run3,entity,8,6,34,147,1
openai,run3,coref,35,33,31,28,3
openai,run3,all_combined,41,,62,166,3
openai,average,entity,8.33,6.33,35,147,0.67
openai,average,coref,35,33,35.67,30,2.33
openai,average,all_combined,41.33,,65.67,167,2.67
