backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
openai,run1,Full,0.972268,0.859631,0.910123,0.885436,0.733100,0.879189,0.843594,0.029056,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run1,EntityOnly,0.984936,0.772028,0.861289,0.828649,0.700000,0.833890,0.740850,0.021142,-0.048834,-0.033100,-0.045299,-0.102744,-0.007914
openai,run1,CorefOnly,0.904724,0.148566,0.252176,0.220111,0.000000,0.000000,0.151295,0.065939,-0.657946,-0.733100,-0.879189,-0.692300,+0.036883
openai,run2,Full,0.957197,0.859308,0.903888,0.880421,0.759596,0.888706,0.840135,0.042912,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run2,EntityOnly,0.982625,0.772650,0.859976,0.822989,0.683333,0.835934,0.735121,0.026284,-0.043912,-0.076263,-0.052771,-0.105014,-0.016628
openai,run2,CorefOnly,0.878285,0.135178,0.230518,0.211074,0.000000,0.000000,0.144773,0.088193,-0.673370,-0.759596,-0.888706,-0.695362,+0.045281
openai,run3,Full,0.959527,0.858173,0.904832,0.882692,0.766434,0.883614,0.841420,0.038174,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
openai,run3,EntityOnly,0.981782,0.770570,0.859181,0.826017,0.700000,0.831667,0.738676,0.027585,-0.045650,-0.066434,-0.051948,-0.102744,-0.010589
openai,run3,CorefOnly,0.886662,0.135785,0.230257,0.201640,0.000000,0.000000,0.140232,0.080179,-0.674575,-0.766434,-0.883614,-0.701188,+0.042005
openai,average,CorefOnly,0.889890,0.139843,0.237650,0.210942,0.000000,0.000000,0.145433,0.078104,-0.668630,-0.753043,-0.883836,-0.696283,+0.041390
openai,average,EntityOnly,0.983114,0.771749,0.860149,0.825885,0.694444,0.833830,0.738216,0.025004,-0.046132,-0.058599,-0.050006,-0.103501,-0.011710
openai,average,Full,0.962997,0.859037,0.906281,0.882850,0.753043,0.883836,0.841716,0.036714,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
