backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
openai,run1,Full,mediastore,1.000000,0.728814,0.843137,0.923077,0.000000,0.000000,0.880000,0.000000
openai,run1,NoEntityValid,mediastore,0.958333,0.779661,0.859813,0.928571,0.500000,0.882353,0.920000,0.080000
openai,run1,NoCitation,mediastore,0.977273,0.728814,0.834951,0.905660,0.000000,0.000000,0.880000,0.043478
openai,run1,NoValidator,mediastore,0.938776,0.779661,0.851852,0.912281,0.500000,0.861244,0.920000,0.115385
openai,run1,Full,teastore,1.000000,0.743989,0.853204,0.875000,0.666667,0.872727,0.826087,0.000000
openai,run1,NoEntityValid,teastore,0.961538,0.813296,0.881226,0.851852,0.800000,0.889988,0.826087,0.173913
openai,run1,NoCitation,teastore,1.000000,0.786421,0.880443,0.897959,0.666667,0.892193,0.869565,0.000000
openai,run1,NoValidator,teastore,0.963376,0.855728,0.906367,0.872727,0.800000,0.903388,0.869565,0.166667
openai,run1,Full,teammates,0.992466,0.732123,0.842644,0.594937,0.333333,0.598523,0.434783,0.019068
openai,run1,NoEntityValid,teammates,0.901703,0.804372,0.850261,0.643275,0.363636,0.634354,0.500000,0.120557
openai,run1,NoCitation,teammates,0.750330,0.772755,0.761377,0.597701,0.375000,0.607682,0.467391,0.145059
openai,run1,NoValidator,teammates,0.718361,0.827220,0.768957,0.630435,0.400000,0.627959,0.521739,0.198368
openai,run1,Full,bigbluebutton,0.911063,0.824068,0.865385,0.895105,0.666667,0.857143,0.844444,0.125062
openai,run1,NoEntityValid,bigbluebutton,0.845033,0.834532,0.839750,0.897959,0.666667,0.854093,0.844444,0.154294
openai,run1,NoCitation,bigbluebutton,0.871478,0.829300,0.849866,0.864865,0.666667,0.835655,0.844444,0.189062
openai,run1,NoValidator,bigbluebutton,0.811631,0.839765,0.825458,0.868421,0.666667,0.833333,0.844444,0.214682
openai,run1,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run1,NoEntityValid,jabref,0.892680,1.000000,0.943297,0.956522,0.800000,0.941176,1.000000,0.082314
openai,run1,NoCitation,jabref,0.891525,1.000000,0.942652,0.880000,0.666667,0.847059,1.000000,0.161242
openai,run1,NoValidator,jabref,0.806949,1.000000,0.893162,0.862745,0.666667,0.832370,1.000000,0.233553
openai,run2,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
openai,run2,NoEntityValid,mediastore,0.978723,0.779661,0.867925,0.945455,0.666667,0.927835,0.920000,0.041667
openai,run2,NoCitation,mediastore,0.965517,0.474576,0.636364,0.791667,0.000000,0.000000,0.720000,0.052632
openai,run2,NoValidator,mediastore,0.958333,0.779661,0.859813,0.928571,0.666667,0.904523,0.920000,0.080000
openai,run2,Full,teastore,1.000000,0.701556,0.824605,0.851064,0.666667,0.842105,0.782609,0.000000
openai,run2,NoEntityValid,teastore,0.968028,0.770863,0.858268,0.846154,0.800000,0.883436,0.782609,0.142857
openai,run2,NoCitation,teastore,1.000000,0.743989,0.853204,0.875000,0.666667,0.872727,0.826087,0.000000
openai,run2,NoValidator,teastore,0.969646,0.813296,0.884615,0.867925,0.800000,0.903388,0.826087,0.136364
openai,run2,Full,teammates,0.995027,0.741262,0.849600,0.603774,0.333333,0.602740,0.434783,0.005769
openai,run2,NoEntityValid,teammates,0.925021,0.799926,0.857938,0.639053,0.375000,0.635863,0.478261,0.108630
openai,run2,NoCitation,teammates,0.746600,0.779795,0.762837,0.602273,0.375000,0.609284,0.478261,0.160256
openai,run2,NoValidator,teammates,0.725278,0.820674,0.770033,0.622951,0.411765,0.626287,0.510870,0.212088
openai,run2,Full,bigbluebutton,0.861666,0.818836,0.839705,0.867133,0.666667,0.841262,0.822222,0.137572
openai,run2,NoEntityValid,bigbluebutton,0.853872,0.829300,0.841407,0.882759,0.666667,0.848057,0.822222,0.144549
openai,run2,NoCitation,bigbluebutton,0.799496,0.829300,0.814125,0.836601,0.666667,0.816882,0.844444,0.237860
openai,run2,NoValidator,bigbluebutton,0.793572,0.839765,0.816015,0.851613,0.666667,0.823328,0.844444,0.243885
openai,run2,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run2,NoEntityValid,jabref,0.892680,1.000000,0.943297,0.956522,0.800000,0.941176,1.000000,0.082314
openai,run2,NoCitation,jabref,0.891525,1.000000,0.942652,0.880000,0.666667,0.847059,1.000000,0.161242
openai,run2,NoValidator,jabref,0.806949,1.000000,0.893162,0.862745,0.666667,0.832370,1.000000,0.233553
openai,run3,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
openai,run3,NoEntityValid,mediastore,0.978723,0.779661,0.867925,0.945455,0.666667,0.927835,0.920000,0.041667
openai,run3,NoCitation,mediastore,0.965517,0.474576,0.636364,0.791667,0.000000,0.000000,0.720000,0.052632
