backend,run,validator,killed_gold,killed_spurious,kept_gold,kept_spurious,delta_f1_if_removed
openai,run1,entity,15,24,138,2,+0.014326
openai,run1,coref,23,28,27,1,+0.051137
openai,run1,all_combined,37,49,155,3,+0.053953
openai,run2,entity,15,20,135,0,-0.007730
openai,run2,coref,26,31,25,2,+0.054985
openai,run2,all_combined,40,48,151,2,+0.036072
openai,run3,entity,20,19,131,0,-0.021697
openai,run3,coref,27,30,25,0,+0.054229
openai,run3,all_combined,46,46,147,0,+0.021198
openai,average,entity,16.67,21,134.67,0.67,-0.005034
openai,average,coref,25.33,29.67,25.67,1,+0.053450
openai,average,all_combined,41,47.67,151,1.67,+0.037074
