backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
openai,run1,Entity,138,128,2,+0.682260
openai,run1,Coref,27,17,1,+0.051904
openai,run1,overlap(only_E/both/only_C),128,10,17,
openai,run2,Entity,135,126,0,+0.671622
openai,run2,Coref,25,16,2,+0.050260
openai,run2,overlap(only_E/both/only_C),126,9,16,
openai,run3,Entity,131,122,0,+0.667001
openai,run3,Coref,25,16,0,+0.053969
openai,run3,overlap(only_E/both/only_C),122,9,16,
openai,average,Entity,134.67,125.33,0.67,+0.673628
openai,average,Coref,25.67,16.33,1,+0.052044
openai,average,overlap(only_E/both/only_C),125.33,9.33,16.33,
