backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1
openai,run1,entity_only,mediastore,1.000000,0.709677,0.830189
openai,run1,entity_only,teastore,1.000000,0.629630,0.772727
openai,run1,entity_only,teammates,1.000000,0.736842,0.848485
openai,run1,entity_only,bigbluebutton,0.951220,0.629032,0.757282
openai,run1,entity_only,jabref,1.000000,1.000000,1.000000
openai,run1,coref_only,mediastore,1.000000,0.064516,0.121212
openai,run1,coref_only,teastore,1.000000,0.148148,0.258065
openai,run1,coref_only,teammates,0.916667,0.192982,0.318841
openai,run1,coref_only,bigbluebutton,1.000000,0.145161,0.253521
openai,run1,coref_only,jabref,1.000000,0.055556,0.105263
openai,run1,full,mediastore,1.000000,0.774194,0.872727
openai,run1,full,teastore,1.000000,0.777778,0.875000
openai,run1,full,teammates,0.979592,0.842105,0.905660
openai,run1,full,bigbluebutton,0.956522,0.709677,0.814815
openai,run1,full,jabref,1.000000,1.000000,1.000000
openai,run2,entity_only,mediastore,1.000000,0.548387,0.708333
openai,run2,entity_only,teastore,1.000000,0.592593,0.744186
openai,run2,entity_only,teammates,1.000000,0.771930,0.871287
openai,run2,entity_only,bigbluebutton,1.000000,0.645161,0.784314
openai,run2,entity_only,jabref,1.000000,1.000000,1.000000
openai,run2,coref_only,mediastore,1.000000,0.064516,0.121212
openai,run2,coref_only,teastore,1.000000,0.148148,0.258065
openai,run2,coref_only,teammates,0.923077,0.210526,0.342857
openai,run2,coref_only,bigbluebutton,0.857143,0.096774,0.173913
openai,run2,coref_only,jabref,1.000000,0.055556,0.105263
openai,run2,full,mediastore,1.000000,0.612903,0.760000
openai,run2,full,teastore,1.000000,0.740741,0.851064
openai,run2,full,teammates,0.980392,0.877193,0.925926
openai,run2,full,bigbluebutton,0.977778,0.709677,0.822430
openai,run2,full,jabref,1.000000,1.000000,1.000000
openai,run3,entity_only,mediastore,1.000000,0.548387,0.708333
openai,run3,entity_only,teastore,1.000000,0.629630,0.772727
openai,run3,entity_only,teammates,1.000000,0.771930,0.871287
openai,run3,entity_only,bigbluebutton,1.000000,0.564516,0.721649
openai,run3,entity_only,jabref,1.000000,1.000000,1.000000
openai,run3,coref_only,mediastore,1.000000,0.064516,0.121212
openai,run3,coref_only,teastore,1.000000,0.148148,0.258065
openai,run3,coref_only,teammates,1.000000,0.210526,0.347826
openai,run3,coref_only,bigbluebutton,1.000000,0.096774,0.176471
openai,run3,coref_only,jabref,1.000000,0.055556,0.105263
openai,run3,full,mediastore,1.000000,0.612903,0.760000
openai,run3,full,teastore,1.000000,0.777778,0.875000
openai,run3,full,teammates,1.000000,0.859649,0.924528
openai,run3,full,bigbluebutton,1.000000,0.645161,0.784314
openai,run3,full,jabref,1.000000,1.000000,1.000000
openai,average,entity_only,mediastore,1.000000,0.602151,0.748952
openai,average,entity_only,teastore,1.000000,0.617284,0.763214
openai,average,entity_only,teammates,1.000000,0.760234,0.863686
openai,average,entity_only,bigbluebutton,0.983740,0.612903,0.754415
openai,average,entity_only,jabref,1.000000,1.000000,1.000000
openai,average,coref_only,mediastore,1.000000,0.064516,0.121212
openai,average,coref_only,teastore,1.000000,0.148148,0.258065
openai,average,coref_only,teammates,0.946581,0.204678,0.336508
openai,average,coref_only,bigbluebutton,0.952381,0.112903,0.201302
openai,average,coref_only,jabref,1.000000,0.055556,0.105263
openai,average,full,mediastore,1.000000,0.666667,0.797576
openai,average,full,teastore,1.000000,0.765432,0.867021
openai,average,full,teammates,0.986661,0.859649,0.918705
openai,average,full,bigbluebutton,0.978100,0.688172,0.807186
openai,average,full,jabref,1.000000,1.000000,1.000000
