backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
claude,run1,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
claude,run1,EntityOnly,mediastore,1.000000,0.423729,0.595238,0.755556,0.000000,0.000000,0.640000,0.000000
claude,run1,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.133333,0.000000,0.000000,0.080000,0.000000
claude,run1,Full,teastore,1.000000,0.840170,0.913144,0.941176,0.888889,0.948617,0.869565,0.000000
claude,run1,EntityOnly,teastore,1.000000,0.708628,0.829470,0.851064,0.666667,0.842105,0.695652,0.000000
claude,run1,CorefOnly,teastore,1.000000,0.131542,0.232500,0.258065,0.000000,0.000000,0.173913,0.000000
claude,run1,Full,teammates,0.988165,0.773373,0.867674,0.629630,0.333333,0.622013,0.456522,0.023654
claude,run1,EntityOnly,teammates,0.987469,0.729900,0.839369,0.585987,0.333333,0.587413,0.402174,0.026851
claude,run1,CorefOnly,teammates,0.977824,0.408423,0.576183,0.379562,0.214286,0.387097,0.271739,0.039739
claude,run1,Full,bigbluebutton,0.932898,0.654676,0.769408,0.775194,0.000000,0.000000,0.666667,0.095878
claude,run1,EntityOnly,bigbluebutton,0.939013,0.634402,0.757221,0.746032,0.000000,0.000000,0.622222,0.088589
claude,run1,CorefOnly,bigbluebutton,0.813333,0.039895,0.076060,0.162791,0.000000,0.000000,0.111111,0.126786
claude,run1,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
claude,run1,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
claude,run1,CorefOnly,jabref,0.999643,0.677068,0.807326,0.742857,0.000000,0.000000,0.700000,0.000276
claude,run2,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
claude,run2,EntityOnly,mediastore,1.000000,0.423729,0.595238,0.755556,0.000000,0.000000,0.640000,0.000000
claude,run2,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.133333,0.000000,0.000000,0.080000,0.000000
claude,run2,Full,teastore,0.983444,0.840170,0.906178,0.857143,0.888889,0.948617,0.869565,0.166667
