backend,run,variant,macro_f1,delta_f1_vs_full
claude,run1,Full,0.877887,+0.000000
claude,run1,NoEntityValid,0.843063,+0.034825
claude,run1,NoCitation,0.854745,+0.023143
claude,run1,NoValidator,0.840044,+0.037843
claude,run2,Full,0.859928,+0.000000
claude,run2,NoEntityValid,0.857287,+0.002641
claude,run2,NoCitation,0.838216,+0.021712
claude,run2,NoValidator,0.845163,+0.014765
claude,run3,Full,0.892094,+0.000000
claude,run3,NoEntityValid,0.854334,+0.037761
claude,run3,NoCitation,0.869618,+0.022476
claude,run3,NoValidator,0.842430,+0.049664
claude,average,Full,0.876636,+0.000000
claude,average,NoEntityValid,0.851561,+0.025076
claude,average,NoCitation,0.854193,+0.022444
claude,average,NoValidator,0.842546,+0.034091
