backend,run,validator,killed_gold,killed_spurious,kept_gold,kept_spurious,delta_f1_if_removed
claude,run1,entity,1,24,147,6,+0.036533
claude,run1,coref,43,17,84,7,+0.020162
claude,run1,all_combined,44,36,171,9,+0.044447
claude,run2,entity,0,26,146,5,+0.040912
claude,run2,coref,44,23,83,2,+0.028838
claude,run2,all_combined,44,45,171,6,+0.054076
claude,run3,entity,2,31,143,6,+0.050919
claude,run3,coref,34,18,83,3,+0.021811
claude,run3,all_combined,35,42,162,7,+0.052976
claude,average,entity,1,27,145.33,5.67,+0.042788
claude,average,coref,40.33,19.33,83.33,4,+0.023604
claude,average,all_combined,41,41,168,7.33,+0.050500
