backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
claude,run1,Entity,147,87,6,+0.342704
claude,run1,Coref,84,24,7,+0.065320
claude,run1,overlap(only_E/both/only_C),87,60,24,
claude,run2,Entity,146,88,5,+0.294120
claude,run2,Coref,83,25,2,+0.073267
claude,run2,overlap(only_E/both/only_C),88,58,25,
claude,run3,Entity,143,79,6,+0.311376
claude,run3,Coref,83,19,3,+0.058818
claude,run3,overlap(only_E/both/only_C),79,64,19,
claude,average,Entity,145.33,84.67,5.67,+0.316067
claude,average,Coref,83.33,22.67,4,+0.065802
claude,average,overlap(only_E/both/only_C),84.67,60.67,22.67,
