system,run,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_sentence_coverage,doc_to_model_noise_rate,doc_to_model_silent_failure_mass,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
approach (GPT-5.4),run1,0.9958,0.8958,0.9415,0.9370,0.0024,0.0000,0.9723,0.8596,0.9101,0.8854,0.7331,0.8792,0.8436,0.0291
approach (GPT-5.4),run2,0.9842,0.8891,0.9329,0.9379,0.0182,0.0000,0.9572,0.8593,0.9039,0.8804,0.7596,0.8887,0.8401,0.0429
approach (GPT-5.4),run3,0.9882,0.8891,0.9338,0.9370,0.0136,0.0000,0.9595,0.8582,0.9048,0.8827,0.7664,0.8836,0.8414,0.0382
approach (GPT-5.4),average,0.9894,0.8913,0.9360,0.9373,0.0114,0.0000,0.9630,0.8590,0.9063,0.8828,0.7530,0.8838,0.8417,0.0367
approach (Claude),run1,0.9528,0.9177,0.9318,0.9578,0.0483,0.8333,0.9674,0.8800,0.9195,0.8905,0.5418,0.6988,0.8523,0.0556
approach (Claude),run2,0.9702,0.9102,0.9373,0.9491,0.0306,0.8333,0.9732,0.8674,0.9148,0.8884,0.5863,0.7055,0.8436,0.0397
approach (Claude),run3,0.9601,0.8752,0.9103,0.9142,0.0435,3.0556,0.9692,0.8326,0.8909,0.8691,0.6000,0.7069,0.8323,0.0659
approach (Claude),average,0.9610,0.9010,0.9265,0.9403,0.0408,1.5741,0.9699,0.8600,0.9084,0.8827,0.5760,0.7038,0.8427,0.0537
Artemis (GPT-5.4),single,0.9297,0.7631,0.8355,0.7882,0.0718,7.0556,0.9412,0.7779,0.8488,0.8090,0.3455,0.4656,0.7091,0.0598
TransArC,single,0.8695,0.7717,0.7990,0.7890,0.1374,7.4074,0.8855,0.7753,0.8026,0.8189,0.5445,0.6734,0.7511,0.1303
