backend,run,true_class,ent_reject,ent_keep,coref_reject,coref_keep
openai,run1,False positive (FP),38,0,44,1
openai,run1,True positive (TP),6,147,4,33
openai,run2,False positive (FP),33,1,32,3
openai,run2,True positive (TP),8,147,3,29
openai,run3,False positive (FP),34,1,31,3
openai,run3,True positive (TP),6,147,5,28
openai,average,False positive (FP),35,0.67,35.67,2.33
openai,average,True positive (TP),6.67,147,4,30
claude,run1,False positive (FP),24,6,17,7
claude,run1,True positive (TP),0,147,2,84
claude,run2,False positive (FP),26,5,23,2
claude,run2,True positive (TP),0,146,3,83
claude,run3,False positive (FP),31,6,18,3
claude,run3,True positive (TP),2,143,6,83
claude,average,False positive (FP),27,5.67,19.33,4
claude,average,True positive (TP),0.67,145.33,3.67,83.33
