modelElementID,codeId
97,src/main/java/teammates/ui/request/package-info.java
1,src/main/java/teammates/ui/output/UsageStatisticsRangeData.java
185,src/e2e/java/teammates/e2e/cases/axe/package-info.java
1,src/e2e/java/teammates/e2e/util/TestDataValidityTest.java
5,src/main/java/teammates/ui/webapi/FeedbackSessionPublishedEmailWorkerAction.java
155,src/test/java/teammates/common/util/SanitizationHelperTest.java
77,src/test/java/teammates/logic/api/MockUserProvision.java
18,src/client/java/teammates/client/scripts/DataMigrationForConstSumForceUnevenDistribution.java
25,src/test/java/teammates/ui/webapi/StudentCourseJoinEmailWorkerActionTest.java
1,src/main/java/teammates/ui/servlets/LegacyUrlMapper.java
20,src/test/java/teammates/common/util/StringHelperTest.java
5,src/test/java/teammates/ui/webapi/GetHasResponsesActionTest.java
7,src/main/java/teammates/ui/output/ReadNotificationsData.java
81,src/test/java/teammates/ui/webapi/DeleteStudentsActionTest.java
4,src/main/java/teammates/ui/output/JoinState.java
18,src/client/java/teammates/client/util/LoopHelper.java
25,src/main/java/teammates/ui/webapi/GetStudentAction.java
122,src/test/java/teammates/logic/api/LogicExtension.java
15,src/e2e/java/teammates/e2e/cases/axe/FeedbackSubmitPageAxeTest.java
1,src/main/java/teammates/ui/output/NotificationsData.java
15,src/e2e/java/teammates/e2e/cases/FeedbackRubricQuestionE2ETest.java
131,src/test/java/teammates/ui/webapi/SendJoinReminderEmailActionTest.java
1,src/main/java/teammates/common/datatransfer/questions/FeedbackTextResponseDetails.java
29,src/test/java/teammates/ui/webapi/UpdateFeedbackResponseCommentActionTest.java
1,src/main/java/teammates/ui/webapi/CreateFeedbackResponseCommentAction.java
10,src/test/java/teammates/test/TestPropertiesTest.java
1,src/main/java/teammates/ui/webapi/GetFeedbackQuestionRecipientsAction.java
97,src/test/java/teammates/ui/webapi/FeedbackSessionPublishedRemindersActionTest.java
4,src/main/java/teammates/ui/webapi/SearchStudentsAction.java
1,src/main/java/teammates/ui/request/Intent.java
1,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
1,src/main/java/teammates/common/datatransfer/attributes/CourseAttributes.java
176,src/main/java/teammates/logic/api/Logic.java
29,src/main/java/teammates/ui/webapi/GetSessionResponseStatsAction.java
1,src/main/java/teammates/ui/webapi/SearchInstructorsAction.java
5,src/main/java/teammates/ui/output/FeedbackSessionSubmittedGiverSet.java
15,src/e2e/java/teammates/e2e/cases/axe/package-info.java
118,src/main/java/teammates/storage/api/AccountsDb.java
29,src/test/java/teammates/ui/webapi/UnpublishFeedbackSessionActionTest.java
81,src/main/java/teammates/ui/output/FeedbackSessionSubmissionStatus.java
20,src/main/java/teammates/common/exception/DeadlineExceededException.java
81,src/main/java/teammates/ui/webapi/DeleteFeedbackResponseCommentAction.java
20,src/test/java/teammates/common/util/TimeHelperExtension.java
101,src/main/java/teammates/storage/entity/Instructor.java
4,src/test/java/teammates/ui/webapi/CreateNotificationActionTest.java
47,src/main/java/teammates/ui/output/NotificationsData.java
5,src/main/java/teammates/ui/webapi/GetFeedbackResponsesAction.java
29,src/main/java/teammates/ui/webapi/InvalidHttpParameterException.java
97,src/main/java/teammates/ui/webapi/StudentCourseJoinEmailWorkerAction.java
97,src/test/java/teammates/ui/webapi/JoinCourseActionTest.java
131,src/test/java/teammates/ui/webapi/CreateNotificationActionTest.java
87,src/main/java/teammates/logic/external/GoogleRecaptchaService.java
1,src/main/java/teammates/common/util/TimeHelper.java
47,src/main/java/teammates/logic/external/SendgridService.java
25,src/main/java/teammates/ui/webapi/GetTimeZonesAction.java
1,src/main/java/teammates/ui/output/ActionClasses.java
17,src/e2e/java/teammates/e2e/pageobjects/AdminAccountsPage.java
1,src/test/java/teammates/storage/api/DeadlineExtensionsDbTest.java
20,src/test/java/teammates/common/datatransfer/UserInfoCookieTest.java
97,src/main/java/teammates/ui/request/InstructorPrivilegeUpdateRequest.java
129,src/main/java/teammates/logic/external/MailjetService.java
163,src/test/java/teammates/test/ThreadHelper.java
177,src/main/java/teammates/storage/entity/package-info.java
87,src/test/java/teammates/logic/core/DataBundleLogicTest.java
122,src/test/java/teammates/logic/api/MockLogsProcessor.java
186,src/e2e/java/teammates/e2e/cases/axe/InstructorCoursesPageAxeTest.java
1,src/e2e/java/teammates/e2e/cases/axe/InstructorHomePageAxeTest.java
1,src/main/java/teammates/storage/api/EntitiesDb.java
128,src/test/java/teammates/storage/api/EntitiesDbTest.java
25,src/test/java/teammates/ui/webapi/FeedbackSessionOpeningRemindersActionTest.java
25,src/main/java/teammates/ui/output/MessageOutput.java
81,src/test/java/teammates/ui/webapi/GetCourseActionTest.java
1,src/main/java/teammates/ui/webapi/UpdateFeedbackResponseCommentAction.java
17,src/e2e/java/teammates/e2e/pageobjects/IanaTimezonePage.java
1,src/test/java/teammates/ui/webapi/GetInstructorsActionTest.java
131,src/main/java/teammates/storage/api/AccountsDb.java
101,src/test/java/teammates/storage/search/AccountRequestSearchTest.java
25,src/main/java/teammates/ui/webapi/GetFeedbackSessionSubmittedGiverSetAction.java
47,src/main/java/teammates/ui/webapi/SearchInstructorsAction.java
20,src/test/java/teammates/common/util/package-info.java
16,src/e2e/java/teammates/e2e/cases/StudentHomePageE2ETest.java
122,src/main/java/teammates/logic/core/package-info.java
118,src/test/java/teammates/storage/search/StudentSearchTest.java
176,src/main/java/teammates/logic/core/FeedbackSessionsLogic.java
15,src/e2e/java/teammates/e2e/cases/axe/InstructorStudentRecordsPageAxeTest.java
1,src/e2e/java/teammates/e2e/cases/AutomatedSessionRemindersE2ETest.java
20,src/main/java/teammates/common/util/JsonUtils.java
7,src/test/java/teammates/ui/webapi/CreateFeedbackSessionActionTest.java
131,src/main/java/teammates/storage/entity/UsageStatistics.java
97,src/test/java/teammates/ui/webapi/InstructorCourseJoinEmailWorkerActionTest.java
1,src/main/java/teammates/ui/request/FeedbackSessionRespondentRemindRequest.java
185,src/e2e/java/teammates/e2e/cases/axe/AdminSearchPageAxeTest.java
155,src/test/java/teammates/common/datatransfer/questions/FeedbackQuestionDetailsTest.java
131,src/main/java/teammates/ui/request/FeedbackSessionBasicRequest.java
175,src/main/java/teammates/common/datatransfer/logs/FeedbackSessionAuditLogDetails.java
5,src/test/java/teammates/ui/webapi/FeedbackSessionRemindEmailWorkerActionTest.java
174,src/main/java/teammates/common/datatransfer/attributes/FeedbackResponseAttributes.java
1,src/main/java/teammates/ui/output/RegenerateKeyData.java
81,src/main/java/teammates/ui/request/ErrorReportRequest.java
97,src/main/java/teammates/logic/core/LogicStarter.java
1,src/main/java/teammates/storage/search/SearchDocument.java
5,src/main/java/teammates/ui/output/FeedbackSessionStatsData.java
47,src/test/java/teammates/logic/api/BaseLogicTest.java
17,src/e2e/java/teammates/e2e/pageobjects/FeedbackResultsPage.java
25,src/main/java/teammates/ui/output/InstructorData.java
155,src/main/java/teammates/common/datatransfer/questions/FeedbackMcqQuestionDetails.java
5,src/main/java/teammates/ui/webapi/PutDataBundleDocumentsAction.java
47,src/main/java/teammates/logic/external/LocalTaskQueueService.java
81,src/main/java/teammates/ui/webapi/RestoreCourseAction.java
97,src/main/java/teammates/ui/webapi/GetNotificationAction.java
16,src/e2e/java/teammates/e2e/cases/InstructorFeedbackEditPageE2ETest.java
194,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
4,src/main/java/teammates/ui/output/CourseArchiveData.java
131,src/main/java/teammates/ui/request/package-info.java
185,src/e2e/java/teammates/e2e/cases/BaseFeedbackQuestionE2ETest.java
17,src/e2e/java/teammates/e2e/pageobjects/InstructorCourseStudentDetailsViewPage.java
7,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
1,src/e2e/java/teammates/e2e/pageobjects/AdminSessionsPage.java
4,src/test/java/teammates/ui/webapi/GetFeedbackResponsesActionTest.java
131,src/main/java/teammates/ui/webapi/GetInstructorAction.java
16,src/e2e/java/teammates/e2e/cases/FeedbackMsqQuestionE2ETest.java
4,src/test/java/teammates/ui/webapi/GetAccountsActionTest.java
15,src/e2e/java/teammates/e2e/cases/axe/AdminAccountsPageAxeTest.java
47,src/main/java/teammates/ui/webapi/GetCoursesAction.java
47,src/main/java/teammates/ui/webapi/JoinCourseAction.java
7,src/main/java/teammates/ui/webapi/StudentSearchIndexingWorkerAction.java
185,src/e2e/java/teammates/e2e/pageobjects/FeedbackSubmitPage.java
155,src/main/java/teammates/common/datatransfer/logs/RequestLogDetails.java
47,src/main/java/teammates/ui/output/DeadlineExtensionData.java
29,src/main/java/teammates/ui/output/EmailData.java
4,src/test/java/teammates/ui/webapi/UpdateNotificationActionTest.java
5,src/main/java/teammates/ui/output/FeedbackResponsesData.java
5,src/main/java/teammates/ui/output/OngoingSession.java
7,src/main/java/teammates/ui/webapi/UpdateInstructorPrivilegeAction.java
29,src/main/java/teammates/ui/webapi/GetUsageStatisticsAction.java
16,src/e2e/java/teammates/e2e/cases/FeedbackTextQuestionE2ETest.java
4,src/main/java/teammates/ui/constants/QuestionTypeStructures.java
128,src/main/java/teammates/storage/search/AccountRequestSearchManager.java
4,src/main/java/teammates/ui/webapi/UpdateInstructorAction.java
25,src/main/java/teammates/ui/webapi/CreateNotificationAction.java
47,src/main/java/teammates/ui/webapi/UpdateFeedbackQuestionAction.java
186,src/e2e/java/teammates/e2e/cases/StudentHomePageE2ETest.java
81,src/main/java/teammates/ui/webapi/InstructorCourseJoinEmailWorkerAction.java
174,src/main/java/teammates/common/exception/HttpRequestFailedException.java
29,src/main/java/teammates/ui/request/FeedbackQuestionBasicRequest.java
131,src/main/java/teammates/storage/api/CoursesDb.java
47,src/test/java/teammates/ui/webapi/GetNotificationsActionTest.java
25,src/main/java/teammates/ui/webapi/GetAccountsAction.java
81,src/main/java/teammates/ui/webapi/BinCourseAction.java
1,src/main/java/teammates/ui/request/FeedbackResponseCommentCreateRequest.java
1,src/main/java/teammates/logic/external/LogService.java
29,src/main/java/teammates/ui/webapi/GetInstructorPrivilegeAction.java
1,src/main/java/teammates/ui/webapi/GetCourseAction.java
1,src/main/java/teammates/ui/webapi/UpdateFeedbackQuestionAction.java
88,src/test/java/teammates/storage/api/CoursesDbTest.java
131,src/main/java/teammates/ui/output/JoinLinkData.java
77,src/main/java/teammates/logic/external/MailgunService.java
176,src/test/java/teammates/logic/api/MockEmailSender.java
17,src/e2e/java/teammates/e2e/pageobjects/StudentNotificationsPage.java
185,src/e2e/java/teammates/e2e/pageobjects/UserNotificationsPage.java
4,src/main/java/teammates/ui/output/AccountRequestData.java
25,src/main/java/teammates/ui/output/SessionResultsData.java
185,src/e2e/java/teammates/e2e/pageobjects/package-info.java
87,src/main/java/teammates/logic/api/Logic.java
155,src/test/java/teammates/common/util/StringHelperExtension.java
47,src/test/java/teammates/ui/webapi/GetFeedbackSessionSubmittedGiverSetActionTest.java
1,src/test/java/teammates/test/BaseTestCaseWithDatabaseAccess.java
29,src/test/java/teammates/ui/webapi/UpdateNotificationActionTest.java
1,src/main/java/teammates/ui/webapi/GetInstructorPrivilegeAction.java
118,src/main/java/teammates/storage/search/InstructorSearchDocument.java
155,src/main/java/teammates/common/exception/EnrollException.java
20,src/test/java/teammates/common/util/TimeHelperTest.java
47,src/main/java/teammates/ui/webapi/GetFeedbackQuestionRecipientsAction.java
7,src/test/java/teammates/ui/webapi/GetAccountsActionTest.java
131,src/test/java/teammates/ui/webapi/DeleteStudentsActionTest.java
47,src/main/java/teammates/ui/request/NotificationUpdateRequest.java
87,src/main/java/teammates/logic/external/LocalTaskQueueService.java
25,src/main/java/teammates/ui/request/NotificationBasicRequest.java
25,src/test/java/teammates/ui/webapi/DeleteStudentsActionTest.java
97,src/main/java/teammates/ui/servlets/WebApiServlet.java
186,src/e2e/java/teammates/e2e/pageobjects/AdminTimezonePage.java
131,src/test/java/teammates/ui/webapi/PublishFeedbackSessionActionTest.java
77,src/main/java/teammates/logic/api/EmailGenerator.java
131,src/test/java/teammates/ui/servlets/LegacyUrlMapperTest.java
131,src/test/java/teammates/ui/webapi/UpdateFeedbackResponseCommentActionTest.java
1,src/e2e/java/teammates/e2e/cases/InstructorCoursesPageE2ETest.java
81,src/main/java/teammates/ui/output/EmailData.java
68,src/main/java/teammates/logic/external/LogService.java
25,src/test/java/teammates/ui/servlets/OriginCheckFilterTest.java
81,src/test/java/teammates/ui/webapi/GetDeadlineExtensionActionTest.java
1,src/main/java/teammates/common/util/FieldValidator.java
131,src/test/java/teammates/ui/webapi/CreateFeedbackSessionLogActionTest.java
1,src/test/java/teammates/ui/webapi/PublishFeedbackSessionActionTest.java
194,src/client/java/teammates/client/scripts/statistics/FileStore.java
77,src/test/java/teammates/logic/core/NotificationsLogicTest.java
16,src/e2e/java/teammates/e2e/cases/axe/AdminSessionsPageAxeTest.java
4,src/main/java/teammates/ui/request/MarkNotificationAsReadRequest.java
5,src/main/java/teammates/ui/request/FeedbackResponseCommentBasicRequest.java
175,src/main/java/teammates/common/datatransfer/AttributesDeletionQuery.java
97,src/main/java/teammates/logic/api/package-info.java
97,src/test/java/teammates/ui/webapi/GetReadNotificationsActionTest.java
1,src/main/java/teammates/common/datatransfer/questions/FeedbackRubricQuestionDetails.java
81,src/main/java/teammates/ui/webapi/BasicFeedbackSubmissionAction.java
1,src/test/java/teammates/logic/api/UserProvisionTest.java
17,src/e2e/java/teammates/e2e/cases/axe/InstructorCourseDetailsPageAxeTest.java
77,src/main/java/teammates/logic/api/TaskQueuer.java
97,src/test/java/teammates/ui/webapi/GetCourseSectionNamesActionTest.java
176,src/main/java/teammates/logic/api/RecaptchaVerifier.java
81,src/test/java/teammates/ui/servlets/package-info.java
186,src/e2e/java/teammates/e2e/pageobjects/FeedbackSubmitPage.java
1,src/test/java/teammates/ui/webapi/GetAuthInfoActionTest.java
118,src/main/java/teammates/storage/api/FeedbackResponsesDb.java
25,src/main/java/teammates/ui/webapi/SearchAccountRequestsAction.java
131,src/main/java/teammates/ui/webapi/BinFeedbackSessionAction.java
131,src/test/java/teammates/ui/webapi/CreateFeedbackSessionActionTest.java
97,src/test/java/teammates/ui/webapi/GetAccountsActionTest.java
29,src/main/java/teammates/ui/request/AccountCreateRequest.java
122,src/test/java/teammates/logic/core/UsageStatisticsLogicTest.java
17,src/e2e/java/teammates/e2e/pageobjects/Browser.java
81,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java
176,src/main/java/teammates/logic/api/UserProvision.java
20,src/main/java/teammates/common/datatransfer/attributes/StudentAttributes.java
97,src/test/java/teammates/ui/webapi/FeedbackSessionResendPublishedEmailWorkerActionTest.java
16,src/e2e/java/teammates/e2e/pageobjects/InstructorNotificationsPage.java
47,src/test/java/teammates/ui/webapi/SubmitFeedbackResponsesActionTest.java
87,src/main/java/teammates/logic/core/FeedbackResponsesLogic.java
81,src/test/java/teammates/ui/webapi/GetFeedbackResponsesActionTest.java
185,src/e2e/java/teammates/e2e/cases/InstructorCourseEditPageE2ETest.java
128,src/main/java/teammates/storage/api/FeedbackResponseCommentsDb.java
68,src/main/java/teammates/logic/external/EmptyRecaptchaService.java
5,src/main/java/teammates/ui/output/RegenerateKeyData.java
4,src/test/java/teammates/ui/webapi/FeedbackSessionClosingRemindersActionTest.java
17,src/e2e/java/teammates/e2e/cases/AdminNotificationsPageE2ETest.java
131,src/main/java/teammates/ui/servlets/WebSecurityHeaderFilter.java
20,src/main/java/teammates/common/datatransfer/questions/FeedbackQuestionDetails.java
1,src/main/java/teammates/ui/output/FeedbackSessionStatsData.java
7,src/main/java/teammates/ui/output/StudentData.java
7,src/main/java/teammates/ui/webapi/InstructorSearchIndexingWorkerAction.java
4,src/main/java/teammates/ui/servlets/WebApiServlet.java
97,src/main/java/teammates/ui/constants/DefaultInstructorPermissions.java
7,src/test/java/teammates/ui/webapi/MarkNotificationAsReadActionTest.java
