modelElementID,sentence
_1lMqsKESEeu-mYqkDskRow,1
_3LCnIKESEeu-mYqkDskRow,1
_9JlCIKESEeu-mYqkDskRow,1
_Bae2oKETEeu-mYqkDskRow,1
_EIoe8KETEeu-mYqkDskRow,1
_GaP8QKETEeu-mYqkDskRow,1
_zUmhEKESEeu-mYqkDskRow,1
_Bae2oKETEeu-mYqkDskRow,10
_9JlCIKESEeu-mYqkDskRow,101
_9JlCIKESEeu-mYqkDskRow,118
_3LCnIKESEeu-mYqkDskRow,122
_9JlCIKESEeu-mYqkDskRow,128
_3LCnIKESEeu-mYqkDskRow,129
_1lMqsKESEeu-mYqkDskRow,131
_9JlCIKESEeu-mYqkDskRow,131
_EIoe8KETEeu-mYqkDskRow,15
_zUmhEKESEeu-mYqkDskRow,155
_EIoe8KETEeu-mYqkDskRow,16
_Bae2oKETEeu-mYqkDskRow,163
_EIoe8KETEeu-mYqkDskRow,17
_zUmhEKESEeu-mYqkDskRow,174
_zUmhEKESEeu-mYqkDskRow,175
_3LCnIKESEeu-mYqkDskRow,176
_9JlCIKESEeu-mYqkDskRow,177
_GaP8QKETEeu-mYqkDskRow,18
_EIoe8KETEeu-mYqkDskRow,185
_EIoe8KETEeu-mYqkDskRow,186
_GaP8QKETEeu-mYqkDskRow,194
_zUmhEKESEeu-mYqkDskRow,20
_1lMqsKESEeu-mYqkDskRow,25
_1lMqsKESEeu-mYqkDskRow,29
_KGVMcKETEeu-mYqkDskRow,31
_KGVMcKETEeu-mYqkDskRow,35
_1lMqsKESEeu-mYqkDskRow,4
_KGVMcKETEeu-mYqkDskRow,41
_KGVMcKETEeu-mYqkDskRow,42
_1lMqsKESEeu-mYqkDskRow,47
_3LCnIKESEeu-mYqkDskRow,47
_1lMqsKESEeu-mYqkDskRow,5
_KGVMcKETEeu-mYqkDskRow,58
_KGVMcKETEeu-mYqkDskRow,6
_KGVMcKETEeu-mYqkDskRow,62
_3LCnIKESEeu-mYqkDskRow,68
_KGVMcKETEeu-mYqkDskRow,69
_1lMqsKESEeu-mYqkDskRow,7
_3LCnIKESEeu-mYqkDskRow,77
_1lMqsKESEeu-mYqkDskRow,81
_3LCnIKESEeu-mYqkDskRow,87
_3LCnIKESEeu-mYqkDskRow,88
_9JlCIKESEeu-mYqkDskRow,88
_1lMqsKESEeu-mYqkDskRow,97
_3LCnIKESEeu-mYqkDskRow,97
